rule_key,common,windows doors,air_source_heat_pump_electric,Air source heat pump - convert from wood,air_source_heat_pump_gas_propane,air_source_heat_pump_oil,dual_fuel_ducted_heat_pump,air_to_water_heat_pump,combined_space_water_heat_pump,heat_pump_water_heater,electrical_service_upgrade,insulation,ventilation,health_and_safety_remediation,status,source_quote,check_type
ashp_wood_rebate_math_within_cap,,,,,,,,,,,,,,,,Invoice... must show the itemized CleanBC rebate... A CSA-F280-12 Heat Load Calculation may be requested... The rebate application... must be submitted... within six (6) months of the invoice date.,genai
ashp_gas_propane_existing_heat_context_present,,,,,,,,,,,,,,,,The home must be primarily heated by fossil fuel (natural gas or propane)...,code
hp_ahri_found_in_product_list,,,,,,,,,,,,,,,,The new heat pump must be capable of distributing heat throughout all the conditioned space... replace the existing fossil fuel heating system... have an AHRI certified reference number... be listed as a qualifying system on the Qualified Heat Pump Product List...,code
ashp_gas_propane_non_integrated_area_review,,,,,,,,,,,,,,,,Homes in Non-Integrated Areas of the electricity grid must contact ... for pre-approval prior to installation.,code
hp_fossil_backup_not_fossil_primary,,,,,,,,,,,,,,,,"The back-up heating system must be electric or wood... Replacing, adding to an existing heat pump or adding a secondary heat pump... is not eligible.",genai
not keyed yet,,,,,,,,,,,,,,,,"All upgrades must be purchased, supplied and installed by a Registered Contractor... All upgrades must be completed in accordance with applicable by-laws...",code
ashp_gas_propane_rebate_math_within_cap,,,,,,,,,,,,,,,,Invoice... must show the itemized CleanBC rebate... A CSA-F280-12 Heat Load Calculation may be requested... Proof of fossil fuel system removal... The rebate application... must be submitted... within six (6) months...,genai
ashp_oil_existing_heat_context_present,,,,,,,,,,,,,,,,The home must be primarily heated by oil... The home must meet a minimum oil consumption baseline of 500 Ltrs. annually...,code
hp_ahri_found_in_product_list,,,,,,,,,,,,,,,,The new heat pump must... replace the existing fossil fuel heating system... have an AHRI certified reference number... be listed as a qualifying system on the Natural Resources Canada Oil to Heat Pump Affordability Qualified Heat Pump Product List...,code
ashp_oil_non_integrated_area_review,,,,,,,,,,,,,,,,Homes in Non-Integrated Areas of the electricity grid must contact ... for pre-approval prior to installation.,genai
hp_fossil_backup_not_fossil_primary,,,,,,,,,,,,,,,,"The back-up heating system must be electric or wood... Replacing, adding to an existing heat pump or adding a secondary heat pump... is not eligible.",genai
not keyed yet,,,,,,,,,,,,,,,,"All upgrades must be purchased, supplied and installed by a Registered Contractor... All upgrades must be completed in accordance with applicable by-laws...",code
ashp_oil_rebate_math_within_cap,,,,,,,,,,,,,,,,Invoice... must show the itemized CleanBC rebate... A CSA-F280-12 Heat Load Calculation may be requested... Proof of fossil fuel (oil) system removal... The rebate application... within six (6) months...,genai
dfhp_png_or_tank_propane_path_present,,,,,,,,,,,,,,,,The home must be primarily heated by tanked propane or natural gas provided by Pacific Northern Gas (PNG)...,code
dfhp_dual_fuel_scope_present,,,,,,,,,,,,,,,,The new heat pump must be integrated with a propane or natural gas heating system... have the thermostat / outdoor temperature switch-over control set to the following region-specific temperatures... be sized to ensure it has the capacity to meet the home's heat demand...,genai
dfhp_heat_load_calc_reference_present,,,,,,,,,,,,,,,,A program approved Heat Load Calculation is required to properly size the system. Rule of thumb equipment sizing will not be accepted.,code
dfhp_non_integrated_area_review,,,,,,,,,,,,,,,,Homes in Non-Integrated Areas of the electricity grid must contact ... for pre-approval prior to installation.,genai
not keyed yet,,,,,,,,,,,,,,,,"All upgrades must be purchased, supplied and installed by a Registered Contractor... All upgrades must be completed in accordance with applicable by-laws...",code
dfhp_rebate_math_within_cap,,,,,,,,,,,,,,,,Invoice... must show the itemized CleanBC rebate... Proof of fossil fuel system removal or modification... A copy of CSA-F280-12 Heat Load Calculation is required... within six (6) months...,genai
atw_scope_present,,,,,,,,,,,,,,,,"The home must be primarily heated by fossil fuel (oil, propane or natural gas), electricity, or wood...",code
hydronic_product_found_in_qualifying_list,,,,,,,,,,,,,,,,The new air-to-water heat pump must... be listed as an eligible system on the Air-to-Water and Combined Heat Pump Qualifying Product List...,code
hydronic_conversion_context_present,,,,,,,,,,,,,,,,"If the new air-to-water heat pump replaces a fossil fuel heating system, all the fossil fuel heating equipment... must be removed... If it replaces a wood or solid fuel heating system, the existing wood or solid fuel heating system may be retained... or removed...",code
hydronic_no_existing_heat_pump_flag,,,,,,,,,,,,,,,,"Replacing, adding to an existing heat pump or adding a secondary heat pump... is not eligible.",genai
hydronic_non_integrated_area_review,,,,,,,,,,,,,,,,Homes in Non-Integrated Areas... must contact... for pre-approval...,genai
not keyed yet,,,,,,,,,,,,,,,,All upgrades must be installed by a Registered Contractor... All upgrades must be completed in accordance with applicable by-laws...,code
atw_rebate_math_within_cap,,,,,,,,,,,,,,,,Invoice... must show the itemized CleanBC rebate... A CSA-F280-12 Heat Load Calculation may be requested... Proof of fossil fuel system removal... Before and after photos of the wood or solid fuel heating system... WETT-certified inspection report...,genai
cshp_scope_present,,,,,,,,,,,,,,,,"The home must be primarily heated by fossil fuel (oil, propane or natural gas), electricity, or wood...",code
hydronic_product_found_in_qualifying_list,,,,,,,,,,,,,,,,Combined space and water heat pump... Must be listed on the air-to-water and combined heat pump qualifying product list.,code
hydronic_conversion_context_present,,,,,,,,,,,,,,,,If the new air-to-water heat pump replaces a fossil fuel heating system... must be removed... If it replaces a wood or solid fuel heating system... may be retained in safe and working order or removed...,code
hydronic_no_existing_heat_pump_flag,,,,,,,,,,,,,,,,"Replacing, adding to an existing heat pump or adding a secondary heat pump... is not eligible.",genai
hydronic_non_integrated_area_review,,,,,,,,,,,,,,,,Homes in Non-Integrated Areas... must contact... for pre-approval...,genai
not keyed yet,,,,,,,,,,,,,,,,All upgrades must be installed by a Registered Contractor... All upgrades must be completed in accordance with applicable by-laws...,code
cshp_rebate_math_within_cap,,,,,,,,,,,,,,,,Invoice... must show the itemized CleanBC rebate... A CSA-F280-12 Heat Load Calculation may be requested... Proof of fossil fuel system removal... Before and after photos... WETT-certified inspection report...,genai
hpwh_primary_replacement_context_present,,,,,,,,,,,,,,,,The existing water heater being replaced must be the home's primary water heater.,code
hpwh_product_reference_present,,,,,,,,,,,,,,,,Eligible systems are listed as Tier 2 or higher on NEEA's Advanced Water Heater Specification Qualified Products List...,genai
hpwh_fossil_removal_evidence_present,,,,,,,,,,,,,,,,"If the new heat pump water heater replaces a fossil fuel water heating system, all the fossil fuel heating equipment... must be removed or decommissioned... Homes in Non-Integrated Areas... must contact... for pre-approval...",code
hpwh_secondary_system_flag,,,,,,,,,,,,,,,,Replacing or adding a secondary heat pump water heater to a home with an existing heat pump water heater is not eligible.,genai
not keyed yet,,,,,,,,,,,,,,,,All upgrades must be installed by a Registered Contractor... All upgrades must be completed in accordance with applicable by-laws...,code
hpwh_rebate_math_within_cap,,,,,,,,,,,,,,,,Invoice... must show the itemized CleanBC rebate... Proof of gas water heater removal... The rebate application... must be submitted... within six (6) months...,genai
esu_heat_pump_conversion_context_present,,,,,,,,,,,,,,,,Only homes that convert from a fossil fuel primary space and/or water heating system to a heat pump... are eligible.,code
esu_utility_upgrade_evidence_present,,,,,,,,,,,,,,,,The electric service (new wire) must be upgraded by the participant's electrical utility... The service upgrade... must be installed within six months of the heat pump installation.,genai
esu_description_sufficient_for_review,,,,,,,,,,,,,,,,"Eligible expenses include utility connection fees, electrical panel or sub-panel upgrade, service mast alterations... labour.",genai
esu_not_panel_only_or_connection_only,,,,,,,,,,,,,,,,Electrical panel or sub-panel upgrades or heat pump connections to the panel without an electric service upgrade by the utility are not eligible.,code
esu_contractor_utility_billed_work_on_one_invoice,,,,,,,,,,,,,,,,"If the contractor is being billed by the utility for the line upgrade, then all work completed by the contractor and the utility must be on one invoice.",genai
not keyed yet,,,,,,,,,,,,,,,,"All upgrades must be purchased, supplied and installed by a Registered Contractor... All upgrades must be completed in accordance with applicable by-laws...",code
esu_rebate_math_within_cap,,,,,,,,,,,,,,,,Electrical service upgrade... up to a maximum... Maximum of one electrical service upgrade per home... Invoice... must show the itemized CleanBC rebate... within six (6) months...,genai
hs_issue_type_present,,,,,,,,,,,,,,,,Remediation must be for existing health and safety issues... required to enable the safe installation and operation of a rebate-eligible upgrade... completed in association with an eligible upgrade... Rebates will not be paid for health and safety remediation on its own... confirmed as rebate-eligible prior to beginning remediation.,genai
not keyed yet,,,,,,,,,,,,,,,,All upgrades must be completed by a Registered Contractor who is approved to complete health and safety remediation...,code
hs_description_sufficient_for_review,,,,,,,,,,,,,,,,"Must be used to remediate pest, asbestos, structural and/or mould issues... Invoice... must show the itemized CleanBC rebate...",genai
hs_before_after_photos_present,,,,,,,,,,,,,,,,Before and after photos of the health and safety issue that was remediated.,code
submission_within_six_months,,,,,,,,,,,,,,,,The rebate application and supporting documentation must be submitted by the Registered Contractor within six (6) months of the invoice date.,code
vent_associated_upgrade_present,,,,,,,,,,,,,,,,"Ventilation upgrades must be installed in association with a rebate-eligible heat pump, heat pump water heater, insulation, or windows/doors upgrade. Rebates will not be paid for ventilation upgrades on their own.",code
vent_system_type_present,,,,,,,,,,,,,,,,Heat/energy recovery ventilators must be ENERGY STAR certified and listed on Natural Resources Canada's searchable product list... be installed in accordance with the BC Housing Heat Recovery Ventilation Guide...,genai
vent_product_or_capacity_evidence_present,,,,,,,,,,,,,,,,Bathroom fan systems must... be ENERGY STAR certified... be ducted directly to the outside... have a capacity of at least 85 cfm... be rated for continuous duty... be equipped with self-closing backdraft damper... ducts must be sealed... ducts must be insulated to minimum R4...,genai
not keyed yet,,,,,,,,,,,,,,,,"All upgrades must be purchased, supplied and installed by a Registered Contractor who is approved to install ventilation upgrades... Heat/energy recovery ventilators must be installed by a licensed HVAC contractor...",code
vent_rebate_math_within_cap,,,,,,,,,,,,,,,,"Ventilation... 95% or 60% of eligible upgrade costs... up to a maximum of $1,600 per home... Invoice... must show the itemized CleanBC rebate... within six (6) months...",genai
